"Ignore","Company","Paddle","Price","Face Material","Grip length","Core Material","Core thickness in mm","Grip thickness","Shape","RPM","Weight","Swing weight","Twist weight","YouTube Review","Link to purchase","Discount code","CODES","Notes","Discount","Paddle Tier"
"1","Adidas","Drive 2","69.99","Fiberglass","4.75","Polymer Honeycomb","14","4.125","Standard","1790","7.8-8.2oz","105","7.11","","https://bit.ly/3HlC8lX","","","","","Cheap"
"2","Adidas","Match Light 2","69.99","Fiberglass","4.75","Polymer Honeycomb","14","4.125","Standard","1790","7.5-7.8oz","96","6.68","","https://bit.ly/3HlC8lX","","","","","Cheap"
"3","Adidas","AdiPower Attk 2","199.99","Carbon Fiber","5","Polymer Honeycomb","14","4.125","Elongated","1038","7.8-8.2oz","116","6","","https://bit.ly/3r5JGnX","","","","","High-end"
"4","Adidas","AdiPower CTRL","199.99","Carbon Fiber","5","Polymer Honeycomb","14","4.125","Standard","1058","7.8-8.2oz","111","6.82","","https://bit.ly/3sHB2fU","","","","","High-end"
"5","Adidas","Adipower Carbon Team","159.99","Carbon Fiber","5.5","Polymer Honeycomb","16","4.5","Elongated","1624","7.8-8.2oz","116","5.72","","https://bit.ly/45TIhQo","","","","","High-end"
"6","Pickleball Apes","Pro Line Energy","149.99","Kevlar","6.25","Polymer Honeycomb","16.5","4.25","Elongated","1743","8.2-8.4oz","120","5.66","","https://bit.ly/453IaSh","PBSTUDIO to save 10%","PBSTUDIO","","10%","High-end"
"7","Pickleball Apes","Neo Line One","69.99","Raw carbon fiber","5.5","Polymer Honeycomb","16","4.5","Elongated","1366","8.0-8.2oz","117","6.04","","https://bit.ly/44OIFiS","PBSTUDIO to save 10%","","","","Cheap"
"8","Ballr","Ballr Pro","99.99","Raw carbon fiber","6","Polymer Honeycomb","16","4.5","Elongated","","8.0oz","126","6.18","","https://bit.ly/3EwbbKq","","","","","Midrange"
"9","Body Helix","X1","160","Raw carbon fiber","5.25","Polymer Honeycomb","16","4.25","Elongated","","8.2oz","122","6.85","","https://bit.ly/3PxrDkc","","","","","High-end"
"10","Bison","The Summit","99.99","Raw carbon fiber","5.5","Polymer Honeycomb","14","4.25","Elongated","1859","7.8oz","117","5.61","","https://bit.ly/41yofJc","","","","","Midrange"
"11","Bison","The Rampage","99.99","Raw carbon fiber","4.75","Polymer Honeycomb","16","4.375","Standard","1843","7.8oz","109","7.02","","https://bit.ly/40x7ZXC","","","","","Midrange"
"12","Bread & Butter","Spear","80","Carbon Fiber","5","Polymer Honeycomb","13","4.25","Standard","1075","7.6oz","104","6.31","","https://bit.ly/40BsnXN","PBSTUDIO 10% OFF","PBSTUDIO","","15%","Midrange"
"13","Bread & Butter","Drip","80","Carbon Fiber","5","Polymer Honeycomb","16","4.25","Elongated","1100","8.0oz","120","6.52","","https://bit.ly/3mT68Pf","PBSTUDIO 10% OFF","","","","Midrange"
"14","Bread & Butter","Filth","165","Raw carbon fiber","5.5","Polymer Honeycomb","16","4.25","Elongated","1850","8oz","125","6.17","https://www.youtube.com/watch?v=FWzHyWSRzYE&ab_channel=PickleballStudio","https://bit.ly/3NzLoXm","PBSTUDIO 10% OFF","","","","High-end"
"15","CRBN","CRBN1 16mm","179.99","Raw carbon fiber","5.5","Polymer Honeycomb","16","4.25","Elongated","1650","7.8-8.1oz","122","6.02","","https://bit.ly/3QvMRQ6","PBSTUDIO 10% OFF","","","","High-end"
"16","CRBN","CRBN1 14mm","179.99","Raw carbon fiber","5.5","Polymer Honeycomb","14","4.25","Elongated","","7.8-8.1oz","120","5.67","","https://bit.ly/3QsRKtb","PBSTUDIO 10% OFF","","","","High-end"
